ID;Price Guide Sequence;Product Line;Product Name;Price (Non UPH Products);Price Grade 02;Price Grade 03;Price Grade 04;Price Grade 05;Price Grade 06;Price Grade 07;Price Grade 08;Price Grade 09;Price Grade 10;Price Grade 11;Price Grade 12;Price Grade 13;Price Optional Armpad or Armcap - Polyurethane;Price Optional Armcap - Polyurethane;Price Optional ArmPAD - Polyurethane;Price Optional Armpad or Armcap - Solid Surface;Price Optional Armcap - Solid Surface;Price Optional ArmPAD - Solid Surface;Price Optional Casters;Price Optional Swivel Tablet;Price Optional Chrome Finish;Price Optional Ganging Brackets;Price Optional Power Unit;Price Optional Bevel Edge;Price Optional Shelf;Country of Origin
BK1102;3;Brooklyn;Armless Guest Chair;;764;878;900;928;968;1.026;1.107;1.22;1.371;1.553;1.79;2.098;;;;;;;;;;;;;;US
BK1301;4;Brooklyn;Lounge Chair;;1.187;1.38;1.417;1.464;1.532;1.631;1.766;1.958;2.214;2.522;2.923;3.444;68;;68;166;;166;;;;;;;;US
BK2101;5;Brooklyn;2 Seat Sofa;;1.473;1.701;1.745;1.801;1.881;1.997;2.159;2.385;2.687;3.051;3.525;4.141;68;;68;166;;166;;;;;;;;US
BK2103;6;Brooklyn;2 Seats with Center Arm;;1.473;1.701;1.745;1.801;1.881;1.997;2.159;2.385;2.687;3.051;3.525;4.141;102;;102;249;;249;;;;;;;;US
BK3101;7;Brooklyn;3 Seat Sofa;;2.183;2.525;2.591;2.675;2.795;2.969;3.212;3.551;4.004;4.55;5.261;6.185;68;;68;166;;166;;;;;;;;US
BK3103;8;Brooklyn;3 Seats with Center Arms;;2.183;2.525;2.591;2.675;2.795;2.969;3.212;3.551;4.004;4.55;5.261;6.185;136;;136;332;;332;;;;;;;;US
BK4101;9;Brooklyn;4 Seat Sofa;;2.897;3.353;3.441;3.553;3.713;3.945;4.269;4.721;5.325;6.053;7.001;8.233;68;;68;166;;166;;;;;;;;US
BK4103;10;Brooklyn;4 Seats with Center Arms;;2.897;3.353;3.441;3.553;3.713;3.945;4.269;4.721;5.325;6.053;7.001;8.233;170;;170;415;;415;;;;;;;;US
BK5101;11;Brooklyn;5 Seat Sofa;;3.607;4.177;4.287;4.427;4.627;4.917;5.322;5.887;6.642;7.552;8.737;10.277;68;;68;166;;166;;;;;;;;US
BK5103;12;Brooklyn;5 Seats with Center Arms;;3.607;4.177;4.287;4.427;4.627;4.917;5.322;5.887;6.642;7.552;8.737;10.277;204;;204;498;;498;;;;;;;;US
BK2201;13;Brooklyn;2 Chairs with Connecting Center Table;;1.884;2.112;2.156;2.212;2.292;2.408;2.57;2.796;3.098;3.462;3.936;4.552;136;;136;332;;332;;;;;222;;;US
BK2001;14;Brooklyn;2 Seat Bench;;931;1.054;1.078;1.108;1.151;1.214;1.3;1.422;1.585;1.781;2.036;2.367;68;;68;166;;166;;;;;;;;US
BK3001;15;Brooklyn;3 Seat Bench;;1.269;1.427;1.457;1.496;1.551;1.632;1.743;1.9;2.109;2.362;2.689;3.115;68;;68;166;;166;;;;;;;;US
